epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9854,1.29135,2.18328,1.351,0.22527,0.30133,0.17604,0.10209,1.18442,2.92359,1.43043,0.00036873,0.00036873,0.00036873
2,92.467,1.38856,1.86595,1.40924,0.20466,0.37374,0.19123,0.11721,1.2167,3.19752,1.40267,0.000738342,0.000738342,0.000738342
3,134.782,1.42715,1.80995,1.42464,0.15635,0.31335,0.13494,0.09154,1.23764,2.96491,1.42589,0.00110507,0.00110507,0.00110507
4,178.129,1.40576,1.80129,1.41876,0.29186,0.38155,0.30697,0.21785,1.1006,2.45205,1.28402,0.00110126,0.00110126,0.00110126
5,222.764,1.3804,1.72396,1.38747,0.20263,0.40603,0.26686,0.18112,1.09761,2.22159,1.31549,0.00109372,0.00109372,0.00109372
6,267.882,1.33924,1.65754,1.37493,0.42963,0.37529,0.30674,0.2191,1.03849,2.31756,1.23916,0.00108408,0.00108408,0.00108408
7,313.026,1.33568,1.61614,1.38459,0.38219,0.41058,0.31612,0.236,1.04495,2.12691,1.27031,0.00107238,0.00107238,0.00107238
8,357.177,1.34011,1.61988,1.37146,0.36607,0.43268,0.34121,0.25396,1.03375,1.96226,1.27302,0.00105866,0.00105866,0.00105866
9,402.294,1.29689,1.53532,1.34513,0.48023,0.44266,0.37413,0.28183,0.96944,2.0578,1.18729,0.00104298,0.00104298,0.00104298
10,447.645,1.28762,1.50653,1.33629,0.34793,0.44714,0.33667,0.23656,1.0033,2.0639,1.20703,0.00102539,0.00102539,0.00102539
11,494.323,1.28016,1.47052,1.34195,0.36114,0.44311,0.30684,0.22408,0.95457,2.33397,1.20174,0.00100597,0.00100597,0.00100597
12,540.206,1.27675,1.45107,1.32811,0.44931,0.41432,0.38018,0.28056,0.96765,1.85962,1.18734,0.000984795,0.000984795,0.000984795
13,588.254,1.25412,1.39931,1.31617,0.40653,0.57485,0.37693,0.28776,0.93995,1.98914,1.17375,0.000961948,0.000961948,0.000961948
14,635.201,1.23284,1.36661,1.30246,0.43808,0.44014,0.3796,0.29193,0.94022,1.93084,1.1531,0.000937518,0.000937518,0.000937518
15,681.518,1.24138,1.35319,1.31015,0.41989,0.5306,0.40922,0.30057,0.9538,2.35866,1.16202,0.000911603,0.000911603,0.000911603
16,726.751,1.21392,1.3272,1.28783,0.34843,0.44321,0.35542,0.27023,0.91234,1.99702,1.1325,0.000884305,0.000884305,0.000884305
17,771.656,1.22275,1.30955,1.28889,0.51324,0.51071,0.43326,0.32944,0.92482,1.80832,1.15041,0.00085573,0.00085573,0.00085573
18,815.637,1.19409,1.26829,1.27737,0.41879,0.46944,0.40619,0.30673,0.92909,1.7705,1.14289,0.000825993,0.000825993,0.000825993
19,858.981,1.20646,1.25532,1.28017,0.43622,0.55984,0.45097,0.33885,0.90944,1.9239,1.15449,0.00079521,0.00079521,0.00079521
20,904.789,1.20873,1.24353,1.27461,0.41765,0.50473,0.38676,0.29324,0.92403,1.95453,1.1247,0.000763503,0.000763503,0.000763503
21,950.633,1.17907,1.21844,1.25797,0.46531,0.55811,0.48131,0.37947,0.88183,1.73825,1.11137,0.000730997,0.000730997,0.000730997
22,994.978,1.17547,1.20082,1.26361,0.51738,0.52801,0.48166,0.38389,0.85568,1.6405,1.09665,0.000697821,0.000697821,0.000697821
23,1038.47,1.16253,1.17307,1.25159,0.564,0.47508,0.4733,0.36075,0.86549,1.98094,1.10167,0.000664104,0.000664104,0.000664104
24,1082.27,1.16773,1.16834,1.25146,0.44114,0.53827,0.45429,0.35391,0.86741,1.78847,1.07869,0.000629981,0.000629981,0.000629981
25,1127.74,1.15494,1.17116,1.25272,0.48034,0.49654,0.44933,0.344,0.85298,1.76124,1.08872,0.000595586,0.000595586,0.000595586
26,1172.75,1.13551,1.10816,1.23901,0.54014,0.50288,0.47637,0.37009,0.83373,1.74813,1.08283,0.000561055,0.000561055,0.000561055
27,1219.01,1.13545,1.08119,1.23852,0.50727,0.51026,0.46115,0.35031,0.85008,1.69718,1.08787,0.000526524,0.000526524,0.000526524
28,1263.74,1.12018,1.07736,1.22665,0.49047,0.51812,0.45785,0.36477,0.84423,1.65138,1.06944,0.000492129,0.000492129,0.000492129
29,1308.45,1.10223,1.0436,1.21836,0.55141,0.52586,0.51582,0.40307,0.85912,1.705,1.0768,0.000458006,0.000458006,0.000458006
30,1353.69,1.12754,1.04458,1.22363,0.57695,0.51428,0.54413,0.43031,0.82028,1.42781,1.06056,0.000424289,0.000424289,0.000424289
31,1397.83,1.1148,1.01371,1.22233,0.50081,0.59064,0.52829,0.4178,0.82302,1.5314,1.06671,0.000391113,0.000391113,0.000391113
32,1443.23,1.09465,0.99373,1.20274,0.52744,0.53462,0.51018,0.40321,0.81937,1.7127,1.05443,0.000358607,0.000358607,0.000358607
33,1492.53,1.09034,0.97863,1.20285,0.56791,0.53258,0.5157,0.40798,0.81176,1.49295,1.04444,0.0003269,0.0003269,0.0003269
34,1542.59,1.08652,0.9672,1.20085,0.62827,0.50115,0.54668,0.4358,0.82123,1.39402,1.05271,0.000296117,0.000296117,0.000296117
35,1588.97,1.09092,0.94677,1.19661,0.54118,0.53967,0.52617,0.41467,0.81767,1.79795,1.04976,0.00026638,0.00026638,0.00026638
36,1633.82,1.08177,0.93366,1.19373,0.51889,0.5592,0.53371,0.41889,0.8184,1.62322,1.06284,0.000237805,0.000237805,0.000237805
37,1676.07,1.05828,0.90493,1.19281,0.50311,0.55536,0.51782,0.41632,0.80076,1.672,1.05303,0.000210507,0.000210507,0.000210507
38,1717.87,1.04766,0.88106,1.17012,0.53161,0.55543,0.52987,0.42262,0.7967,1.66905,1.03939,0.000184592,0.000184592,0.000184592
39,1759.62,1.04469,0.87469,1.17457,0.54957,0.56042,0.51976,0.41778,0.79981,1.51671,1.03824,0.000160162,0.000160162,0.000160162
40,1801.39,1.03758,0.86749,1.17137,0.56614,0.53193,0.52783,0.42347,0.8174,1.68505,1.05359,0.000137315,0.000137315,0.000137315
41,1858.24,1.05762,0.82762,1.1761,0.53889,0.56337,0.53106,0.42132,0.83139,1.60133,1.05492,0.00011614,0.00011614,0.00011614
42,1899.34,1.03083,0.78253,1.16444,0.48266,0.58851,0.51557,0.40674,0.82138,1.67197,1.05708,9.67211e-05,9.67211e-05,9.67211e-05
43,1940.43,1.02153,0.75223,1.15407,0.50044,0.56122,0.51446,0.40482,0.81214,1.69646,1.04487,7.91345e-05,7.91345e-05,7.91345e-05
44,1981.86,1.01786,0.75158,1.15482,0.59073,0.51622,0.53311,0.42059,0.813,1.54907,1.04937,6.34499e-05,6.34499e-05,6.34499e-05
45,2023.27,1.02379,0.7369,1.16206,0.536,0.53377,0.52571,0.41535,0.80957,1.66977,1.04111,4.97291e-05,4.97291e-05,4.97291e-05
46,2064.52,1.01646,0.73345,1.15097,0.55581,0.52883,0.54207,0.42985,0.80993,1.60085,1.04421,3.80262e-05,3.80262e-05,3.80262e-05
47,2105.5,1.00072,0.71864,1.13884,0.56484,0.51114,0.53581,0.42347,0.81312,1.61613,1.04411,2.83875e-05,2.83875e-05,2.83875e-05
48,2147.12,1.00203,0.70944,1.14432,0.52603,0.5542,0.53631,0.42404,0.81508,1.61672,1.0478,2.0851e-05,2.0851e-05,2.0851e-05
49,2188.22,0.9957,0.70701,1.13796,0.52721,0.55713,0.53602,0.42451,0.81276,1.61064,1.04639,1.54465e-05,1.54465e-05,1.54465e-05
50,2229.47,0.99635,0.70808,1.14032,0.5486,0.53195,0.53625,0.42504,0.81298,1.59962,1.04684,1.21952e-05,1.21952e-05,1.21952e-05
